Title,Type,Availability,MSRP Currency,MSRP,Show Price Currency,Show Price,Publisher,Location,Priority,Notes,Thumbs,BGGId,BGGVersionId,Mfg Product Code,Release Date,Override Release Date,Events
Deadly Dinner: Red Carpet in Ruins,Standalone,For Sale,USD,45,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,2,302578,495700,19010E,0000-00-00,Q4 2021,
Deadly Dinner: The Last Rose,Standalone,For Sale,USD,45,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,3,302582,495708,19011E,0000-00-00,Q4 2021,
Cosmic Frog,Standalone,For Sale,N/A,N/A,N/A,N/A,Devious Weasel Games,1237,N/A,N/A,20,295905,484286,DWE5000,2020-12-00,,
The Mirroring of Mary King,Standalone,For Sale,N/A,N/A,N/A,N/A,Devious Weasel Games,1237,N/A,N/A,12,343741,573389,DWE 6000,0000-00-00,Q1 2022,
Cartaventura: Vinland,Standalone,For Sale,USD,15,N/A,N/A,KOSMOS,2455,N/A,N/A,16,327077,595017,682538,2022-04-00,,
Cartaventura: Lhasa,Standalone,For Sale,USD,15,N/A,N/A,KOSMOS,2455,N/A,N/A,19,327076,595016,682521,2022-04-00,,
Catch the Moon,Standalone,For Sale,USD,35,N/A,N/A,KOSMOS,2455,N/A,N/A,8,218129,595021,682606,2022-06-00,,
Exit: The Game + Puzzle – Nightfall Manor,Standalone,For Sale,USD,28,N/A,N/A,KOSMOS,2455,N/A,N/A,7,333516,595008,692880,2022-04-00,,
Exit: The Game – The Lord of the Rings: Shadows over Middle-earth,Standalone,For Sale,USD,20,N/A,N/A,KOSMOS,2455,N/A,N/A,25,341573,595009,692683,2022-06-00,,
Exit: The Game – The Return to the Abandoned Cabin,Standalone,For Sale,USD,18,N/A,N/A,KOSMOS,2455,N/A,N/A,9,341583,0,,,,
Adventure Games: The Gloom City File,Standalone,For Sale,USD,20,N/A,N/A,KOSMOS,2455,N/A,N/A,12,317365,589383,695135,2022-08-00,,
Karak,Standalone,For Sale,USD,40,N/A,N/A,KOSMOS,2455,N/A,N/A,10,241477,595022,682286,2022-07-00,,
